,ts,index_eth,index_usd
97,2021-06-05 01:00:00,453.9538938205,597.080314375
98,2021-06-05 02:00:00,453.9538938205,597.080314375
99,2021-06-05 03:00:00,453.9538938205,597.080314375
100,2021-06-05 04:00:00,453.9538938205,597.080314375
101,2021-06-05 05:00:00,453.9538938205,597.080314375
102,2021-06-05 06:00:00,453.9538938205,597.080314375
103,2021-06-05 07:00:00,453.9538938205,597.080314375
104,2021-06-05 08:00:00,453.9538938205,597.080314375
105,2021-06-05 09:00:00,453.9538938205,597.080314375
106,2021-06-05 10:00:00,453.9538938205,597.080314375
107,2021-06-05 11:00:00,453.9538938205,597.080314375
108,2021-06-05 12:00:00,453.9538938205,597.080314375
109,2021-06-05 13:00:00,453.9538938205,597.080314375
110,2021-06-05 14:00:00,453.9538938205,597.080314375
111,2021-06-05 15:00:00,453.9538938205,597.080314375
112,2021-06-05 16:00:00,453.9538938205,597.080314375
113,2021-06-05 17:00:00,453.9538938205,597.080314375
114,2021-06-05 18:00:00,453.9538938205,597.080314375
115,2021-06-05 19:00:00,453.9538938205,597.080314375
116,2021-06-05 20:00:00,453.9538938205,597.080314375
117,2021-06-05 21:00:00,453.9538938205,597.080314375
118,2021-06-05 22:00:00,453.9538938205,597.080314375
119,2021-06-05 23:00:00,453.9538938205,597.080314375
120,2021-06-06 00:00:00,453.9538938205,616.2634683125
121,2021-06-06 01:00:00,453.9538938205,616.2634683125
122,2021-06-06 02:00:00,453.9538938205,616.2634683125
123,2021-06-06 03:00:00,453.9538938205,616.2634683125
124,2021-06-06 04:00:00,453.9538938205,616.2634683125
125,2021-06-06 05:00:00,453.9538938205,616.2634683125
126,2021-06-06 06:00:00,453.9538938205,616.2634683125
127,2021-06-06 07:00:00,453.9538938205,616.2634683125
128,2021-06-06 08:00:00,453.9538938205,616.2634683125
129,2021-06-06 09:00:00,453.9538938205,616.2634683125
130,2021-06-06 10:00:00,453.9538938205,616.2634683125
131,2021-06-06 11:00:00,453.9538938205,616.2634683125
132,2021-06-06 12:00:00,453.9538938205,616.2634683125
133,2021-06-06 13:00:00,453.9538938205,616.2634683125
134,2021-06-06 14:00:00,453.9538938205,616.2634683125
135,2021-06-06 15:00:00,453.9538938205,616.2634683125
136,2021-06-06 16:00:00,453.9538938205,616.2634683125
137,2021-06-06 17:00:00,445.0272250705,604.145101375
138,2021-06-06 18:00:00,445.0272250705,604.145101375
139,2021-06-06 19:00:00,445.0272250705,604.145101375
140,2021-06-06 20:00:00,445.0272250705,604.145101375
141,2021-06-06 21:00:00,445.0272250705,604.145101375
142,2021-06-06 22:00:00,445.0272250705,604.145101375
143,2021-06-06 23:00:00,445.0272250705,604.145101375
144,2021-06-07 00:00:00,445.0272250705,576.368818375
145,2021-06-07 01:00:00,445.0272250705,576.368818375
146,2021-06-07 02:00:00,445.0272250705,576.368818375
147,2021-06-07 03:00:00,445.0272250705,576.368818375
148,2021-06-07 04:00:00,445.0272250705,576.368818375
149,2021-06-07 05:00:00,445.0272250705,576.368818375
150,2021-06-07 06:00:00,445.0272250705,576.368818375
151,2021-06-07 07:00:00,445.0272250705,576.368818375
152,2021-06-07 08:00:00,445.0272250705,576.368818375
153,2021-06-07 09:00:00,445.0272250705,576.368818375
154,2021-06-07 10:00:00,445.0272250705,576.368818375
155,2021-06-07 11:00:00,445.0272250705,576.368818375
156,2021-06-07 12:00:00,445.0272250705,576.368818375
157,2021-06-07 13:00:00,445.0272250705,576.368818375
158,2021-06-07 14:00:00,445.0272250705,576.368818375
159,2021-06-07 15:00:00,445.0272250705,576.368818375
160,2021-06-07 16:00:00,445.0272250705,576.368818375
161,2021-06-07 17:00:00,445.0272250705,576.368818375
162,2021-06-07 18:00:00,445.0272250705,576.368818375
163,2021-06-07 19:00:00,445.0272250705,576.368818375
164,2021-06-07 20:00:00,447.3187070487,579.3365890342
165,2021-06-07 21:00:00,447.3187070487,579.3365890342
166,2021-06-07 22:00:00,447.3187070487,579.3365890342
167,2021-06-07 23:00:00,447.3187070487,579.3365890342
168,2021-06-08 00:00:00,447.3187070487,563.0487167593
169,2021-06-08 01:00:00,447.3187070487,563.0487167593
170,2021-06-08 02:00:00,447.3072496388,563.0342951228
171,2021-06-08 03:00:00,447.3072496388,563.0342951228
172,2021-06-08 04:00:00,447.3072496388,563.0342951228
173,2021-06-08 05:00:00,445.0272250705,560.1643840689
174,2021-06-08 06:00:00,445.0272250705,560.1643840689
175,2021-06-08 07:00:00,445.0272250705,560.1643840689
176,2021-06-08 08:00:00,445.0272250705,560.1643840689
177,2021-06-08 09:00:00,445.0272250705,560.1643840689
178,2021-06-08 10:00:00,445.0272250705,560.1643840689
179,2021-06-08 11:00:00,445.0272250705,560.1643840689
180,2021-06-08 12:00:00,445.0272250705,560.1643840689
181,2021-06-08 13:00:00,439.298520125,552.9535522179
182,2021-06-08 14:00:00,445.0272250705,560.1643840689
183,2021-06-08 15:00:00,445.0272250705,560.1643840689
184,2021-06-08 16:00:00,445.0272250705,560.1643840689
185,2021-06-08 17:00:00,445.0272250705,560.1643840689
186,2021-06-08 18:00:00,445.0272250705,560.1643840689
187,2021-06-08 19:00:00,445.0272250705,560.1643840689
188,2021-06-08 20:00:00,445.0272250705,560.1643840689
189,2021-06-08 21:00:00,445.0272250705,560.1643840689
190,2021-06-08 22:00:00,445.0272250705,560.1643840689
191,2021-06-08 23:00:00,445.0272250705,560.1643840689
192,2021-06-09 00:00:00,445.0272250705,580.3749325554
193,2021-06-09 01:00:00,445.0272250705,580.3749325554
194,2021-06-09 02:00:00,445.0272250705,580.3749325554
195,2021-06-09 03:00:00,445.0272250705,580.3749325554
196,2021-06-09 04:00:00,445.0272250705,580.3749325554
197,2021-06-09 05:00:00,445.0272250705,580.3749325554
198,2021-06-09 06:00:00,445.0272250705,580.3749325554
199,2021-06-09 07:00:00,445.0272250705,580.3749325554
200,2021-06-09 08:00:00,445.0272250705,580.3749325554
201,2021-06-09 09:00:00,445.0272250705,580.3749325554
202,2021-06-09 10:00:00,445.0272250705,580.3749325554
203,2021-06-09 11:00:00,441.5900021032,575.8923348099
204,2021-06-09 12:00:00,445.0272250705,580.3749325554
205,2021-06-09 13:00:00,445.0272250705,580.3749325554
206,2021-06-09 14:00:00,445.0272250705,580.3749325554
207,2021-06-09 15:00:00,445.0272250705,580.3749325554
208,2021-06-09 16:00:00,445.0272250705,580.3749325554
209,2021-06-09 17:00:00,445.0272250705,580.3749325554
210,2021-06-09 18:00:00,445.0272250705,580.3749325554
211,2021-06-09 19:00:00,445.0272250705,580.3749325554
212,2021-06-09 20:00:00,445.0272250705,580.3749325554
213,2021-06-09 21:00:00,445.0272250705,580.3749325554
214,2021-06-09 22:00:00,445.0272250705,580.3749325554
215,2021-06-09 23:00:00,445.0272250705,580.3749325554
216,2021-06-10 00:00:00,445.0272250705,549.9465219924
217,2021-06-10 01:00:00,445.0272250705,549.9465219924
218,2021-06-10 02:00:00,457.4021277458,565.2389227839
219,2021-06-10 03:00:00,457.4021277458,565.2389227839
220,2021-06-10 04:00:00,457.4021277458,565.2389227839
221,2021-06-10 05:00:00,457.4021277458,565.2389227839
222,2021-06-10 06:00:00,457.4021277458,565.2389227839
223,2021-06-10 07:00:00,457.4021277458,565.2389227839
224,2021-06-10 08:00:00,457.4021277458,565.2389227839
225,2021-06-10 09:00:00,457.4021277458,565.2389227839
226,2021-06-10 10:00:00,457.4021277458,565.2389227839
227,2021-06-10 11:00:00,457.4021277458,565.2389227839
228,2021-06-10 12:00:00,457.4021277458,565.2389227839
229,2021-06-10 13:00:00,457.4021277458,565.2389227839
230,2021-06-10 14:00:00,457.4021277458,565.2389227839
231,2021-06-10 15:00:00,457.4021277458,565.2389227839
232,2021-06-10 16:00:00,456.4021356104,564.0031732528
233,2021-06-10 17:00:00,456.7771326612,564.4665792957
234,2021-06-10 18:00:00,456.7771326612,564.4665792957
235,2021-06-10 19:00:00,456.7771326612,564.4665792957
236,2021-06-10 20:00:00,456.7771326612,564.4665792957
237,2021-06-10 21:00:00,454.4741932731,561.6207006153
238,2021-06-10 22:00:00,454.4741932731,561.6207006153
239,2021-06-10 23:00:00,454.4741932731,561.6207006153
240,2021-06-11 00:00:00,454.4741932731,534.863587991
241,2021-06-11 01:00:00,454.4741932731,534.863587991
242,2021-06-11 02:00:00,454.4741932731,534.863587991
243,2021-06-11 03:00:00,454.4741932731,534.863587991
244,2021-06-11 04:00:00,454.4741932731,534.863587991
245,2021-06-11 05:00:00,454.4741932731,534.863587991
246,2021-06-11 06:00:00,454.4741932731,534.863587991
247,2021-06-11 07:00:00,454.4741932731,534.863587991
248,2021-06-11 08:00:00,454.4741932731,534.863587991
249,2021-06-11 09:00:00,454.4741932731,534.863587991
250,2021-06-11 10:00:00,454.3991938629,534.7753223102
251,2021-06-11 11:00:00,454.3991938629,534.7753223102
252,2021-06-11 12:00:00,454.3991938629,534.7753223102
253,2021-06-11 13:00:00,454.3991938629,534.7753223102
254,2021-06-11 14:00:00,454.3991938629,534.7753223102
255,2021-06-11 15:00:00,453.7741987783,534.0397753451
256,2021-06-11 16:00:00,453.7741987783,534.0397753451
257,2021-06-11 17:00:00,453.7741987783,534.0397753451
258,2021-06-11 18:00:00,453.7741987783,534.0397753451
259,2021-06-11 19:00:00,453.7741987783,534.0397753451
260,2021-06-11 20:00:00,453.7741987783,534.0397753451
261,2021-06-11 21:00:00,453.7741987783,534.0397753451
262,2021-06-11 22:00:00,453.7741987783,534.0397753451
263,2021-06-11 23:00:00,453.7741987783,534.0397753451
264,2021-06-12 00:00:00,453.7741987783,538.2860981363
265,2021-06-12 01:00:00,453.7741987783,538.2860981363
266,2021-06-12 02:00:00,453.7741987783,538.2860981363
267,2021-06-12 03:00:00,453.7741987783,538.2860981363
268,2021-06-12 04:00:00,453.1492036937,537.5447025922
269,2021-06-12 05:00:00,453.7741987783,538.2860981363
270,2021-06-12 06:00:00,453.7741987783,538.2860981363
271,2021-06-12 07:00:00,453.7741987783,538.2860981363
272,2021-06-12 08:00:00,453.7741987783,538.2860981363
273,2021-06-12 09:00:00,453.7741987783,538.2860981363
274,2021-06-12 10:00:00,449.4318404296,533.1350094608
275,2021-06-12 11:00:00,449.4318404296,533.1350094608
276,2021-06-12 12:00:00,449.4318404296,533.1350094608
277,2021-06-12 13:00:00,449.4318404296,533.1350094608
278,2021-06-12 14:00:00,449.4318404296,533.1350094608
279,2021-06-12 15:00:00,449.4318404296,533.1350094608
280,2021-06-12 16:00:00,448.0068516367,531.4446276928
281,2021-06-12 17:00:00,448.6318467213,532.1860231744
282,2021-06-12 18:00:00,448.6318467213,532.1860231744
283,2021-06-12 19:00:00,448.6318467213,532.1860231744
284,2021-06-12 20:00:00,448.6318467213,532.1860231744
285,2021-06-12 21:00:00,452.1077118847,536.3092411213
286,2021-06-12 22:00:00,452.1827112949,536.3982085466
287,2021-06-12 23:00:00,452.1827112949,536.3982085466
288,2021-06-13 00:00:00,452.1827112949,567.1256576327
289,2021-06-13 01:00:00,456.2042621666,572.1694698394
290,2021-06-13 02:00:00,456.2042621666,572.1694698394
291,2021-06-13 03:00:00,456.2042621666,572.1694698394
292,2021-06-13 04:00:00,456.2042621666,572.1694698394
