,Date,Price
280,2023-10-25,0.1829125247075505
281,2023-10-26,
282,2023-10-27,
283,2023-10-28,
284,2023-10-29,
285,2023-10-30,
286,2023-10-31,
287,2023-11-01,
288,2023-11-02,0.15618102207693138
289,2023-11-03,
290,2023-11-04,
291,2023-11-05,
292,2023-11-06,
293,2023-11-07,0.23895
294,2023-11-08,
295,2023-11-09,
296,2023-11-10,
297,2023-11-11,0.239
298,2023-11-12,0.318475
299,2023-11-13,
300,2023-11-14,
301,2023-11-15,
302,2023-11-16,
303,2023-11-17,
304,2023-11-18,
305,2023-11-19,
306,2023-11-20,
307,2023-11-21,
308,2023-11-22,
309,2023-11-23,
310,2023-11-24,
311,2023-11-25,
312,2023-11-26,
313,2023-11-27,
314,2023-11-28,
315,2023-11-29,
316,2023-11-30,
317,2023-12-01,
318,2023-12-02,
319,2023-12-03,0.19982735633724794
320,2023-12-04,
321,2023-12-05,
322,2023-12-06,0.11688879730709316
323,2023-12-07,
324,2023-12-08,0.1950467923607878
325,2023-12-09,
326,2023-12-10,
327,2023-12-11,0.32499999999999996
328,2023-12-12,
329,2023-12-13,
330,2023-12-14,0.19511144760522425
331,2023-12-15,0.265
332,2023-12-16,
333,2023-12-17,
334,2023-12-18,
335,2023-12-19,
336,2023-12-20,
337,2023-12-21,
338,2023-12-22,0.21477759476737382
339,2023-12-23,
340,2023-12-24,
341,2023-12-25,
342,2023-12-26,
343,2023-12-27,
344,2023-12-28,
345,2023-12-29,
346,2023-12-30,
347,2023-12-31,
348,2024-01-01,
349,2024-01-02,
350,2024-01-03,
351,2024-01-04,
352,2024-01-05,
353,2024-01-06,
354,2024-01-07,
355,2024-01-08,
356,2024-01-09,
357,2024-01-10,
358,2024-01-11,
359,2024-01-12,
360,2024-01-13,
361,2024-01-14,
362,2024-01-15,
363,2024-01-16,
364,2024-01-17,
